rank, id, name, rating
1, b541c159-edda-446d-9496-7492ab73f4fc, Костин Егор, 1440
2, eed7f1e3-1b4f-492c-bbde-c62f0e1a52c6, Сойгалов Степан, 1410
3, 013f93d9-3a96-4756-8483-0caf8f0e3ce4, Руденко Владимир, 1380
4, f5107d39-8682-4a72-9951-702e8f33cd5f, Садовников Матвей, 1350
5, ac8aef73-819a-45d7-be6e-672b00b1106e, Губанов Илья, 1320
6, c2a97c8a-805f-4c3e-a7b8-540f65047a04, Фомина Алёна, 1290
7, 125787c0-c3ce-4088-9a16-174d0796732b, Саламатов Марк, 1260
8, d0172cd2-a997-4f38-8b7d-aadd113397c8, Котоман Семен, 1230
9, f8dd94cb-923a-4d04-b4b0-f7d5108c0105, Егоров Дмитрий, 1200
10, bfbd73bf-b698-4b7d-ad3b-1f440f3270fe, Аверин Дмитрий, 1170
11, f8048212-1c0d-4c4e-ab66-1a4a27ba2528, Богинский Никита, 1140
12, 559bc369-5184-4a71-99b6-3628903c8532, Асанов Александр, 1110
13, d81b3187-8e47-459a-9db1-43fb580e0167, Елисеев Степан, 1080
14, 6859de84-60a2-4176-a9fd-5fc81a6f35d3, Формагей Виктория, 1050
15, 11eb00ae-e1a7-423c-b6af-7a1b186b696f, Асанов Петр, 1020
16, 368bc886-578e-4fb7-b5da-fea0b18c33db, Старостенков Антон, 990
17, 9721517b-0c3b-44d0-b150-62446db064ae, Саламатов Александр, 960